"Model","Parameter","Rhat"
"Rate(16=<V<50)","mu[56]",1.00033725497631
"Rate(16=<V<50)","mu[57]",1.00011655464929
"Rate(16=<V<50)","mu[58]",1.00000900339784
"Rate(16=<V<50)","mu[59]",1.00032469910267
"Rate(16=<V<50)","mu[60]",1.00042903005801
"Rate(16=<V<50)","mu[61]",1.00013767326446
"Rate(16=<V<50)","mu[62]",1.00029495780833
"Rate(16=<V<50)","mu[63]",0.999875818189923
"Rate(16=<V<50)","mu[64]",0.999887815473424
"Rate(16=<V<50)","mu[65]",0.99988305379986
"Rate(16=<V<50)","mu[66]",1.0002220386791
"Rate(16=<V<50)","mu[67]",0.999902232485116
"Rate(16=<V<50)","lp__",1.00020232134209
"Rate(16=<UV<50)","L",1.00034004295219
"Rate(16=<UV<50)","k",1.00046497164359
"Rate(16=<UV<50)","x0",1.0007762459318
"Rate(16=<UV<50)","phi",1.00001811780878
"Rate(16=<UV<50)","mu[1]",1.00005872875752
"Rate(16=<UV<50)","mu[2]",1.00010887657475
"Rate(16=<UV<50)","mu[3]",1.00004703580366
"Rate(16=<UV<50)","mu[4]",1.00005190971622
"Rate(16=<UV<50)","mu[5]",1.00032628307711
"Rate(16=<UV<50)","mu[6]",1.00016737330766
"Rate(16=<UV<50)","mu[7]",1.00011782995545
"Rate(16=<UV<50)","mu[8]",1.00014297690793
"Rate(16=<UV<50)","mu[9]",1.00033863334009
"Rate(16=<UV<50)","mu[10]",1.0000324192932
"Rate(16=<UV<50)","mu[11]",1.00031899319744
"Rate(16=<UV<50)","mu[12]",1.00032687492887
"Rate(16=<UV<50)","mu[13]",1.00009905493999
"Rate(16=<UV<50)","mu[14]",1.00004714042904
"Rate(16=<UV<50)","mu[15]",1.00006011392034
"Rate(16=<UV<50)","mu[16]",1.00027223491879
"Rate(16=<UV<50)","mu[17]",1.00007352316628
"Rate(16=<UV<50)","mu[18]",1.00031035973905
"Rate(16=<UV<50)","mu[19]",1.00003337025336
"Rate(16=<UV<50)","mu[20]",1.00003415130151
"Rate(16=<UV<50)","mu[21]",1.00003358625548
"Rate(16=<UV<50)","mu[22]",1.00030717303964
"Rate(16=<UV<50)","mu[23]",1.00005530034941
"Rate(16=<UV<50)","mu[24]",1.00034804760946
"Rate(16=<UV<50)","mu[25]",1.00003359333796
"Rate(16=<UV<50)","mu[26]",1.00030109810664
"Rate(16=<UV<50)","mu[27]",1.00006121905588
"Rate(16=<UV<50)","mu[28]",1.00012350965483
"Rate(16=<UV<50)","mu[29]",1.00027169369515
"Rate(16=<UV<50)","mu[30]",1.00003592606512
"Rate(16=<UV<50)","mu[31]",1.00004105905051
"Rate(16=<UV<50)","mu[32]",1.00006799149804
"Rate(16=<UV<50)","mu[33]",1.00034128273458
"Rate(16=<UV<50)","mu[34]",1.00003154441571
"Rate(16=<UV<50)","mu[35]",1.00003222869646
"Rate(16=<UV<50)","mu[36]",1.00016858705239
"Rate(16=<UV<50)","mu[37]",1.00009024068778
"Rate(16=<UV<50)","mu[38]",1.00010497179731
"Rate(16=<UV<50)","mu[39]",1.00025126183914
